sec,nanosec,pos_x,pos_y,pos_z
1778876435,750473130,21.01552503901396,15.376856306700315,0.0079467661641619
1778876435,950968725,21.078301999490602,15.42728877905443,0.026946437777628063
1778876436,150255028,21.134636514877577,15.462070664071533,0.021946166856767313
1778876436,352210434,21.19508270046586,15.51802901011854,0.027945829589669735
1778876436,551682035,21.238887714047614,15.556024966149046,0.041945590500470864
1778876436,751444803,21.298711359356513,15.606803792468817,0.0159452663802222
1778876436,950681824,21.33783316204542,15.626083389974497,0.03194508831339782
1778876437,151394606,21.379556808835222,15.668217165969534,0.016944846749115783
1778876437,350607412,21.42264883992446,15.72866529554571,0.004944551016052401
1778876437,549510665,21.48105417404483,15.772451866191776,0.018944246923756403
1778876437,748906014,21.542410136472185,15.83319084789445,0.005943889309339312
1778876437,951243808,21.5989529146636,15.901024644502204,0.007943528185496262
1778876438,149917500,21.66305788120076,15.948989384835645,0.01594319129360411
1778876438,353003229,21.69889378622795,16.01992174434321,0.01994289212664846
1778876438,552086832,21.716016786233325,16.082017190846823,-0.010057321844654687
1778876438,750240368,21.794890000421148,16.14804241305183,0.00394224102895091
1778876438,950614223,21.861262769038852,16.195153018793377,0.024941894514434182
1778876439,150113326,21.907739877093423,16.273618069842236,0.018941535402603904
1778876439,349575290,21.967547509926714,16.31608415666944,0.027941219469964196
1778876439,550811124,22.03330576379804,16.36217161852872,0.00594087330213533
1778876439,750114269,22.070667506882053,16.402647211963668,-0.0010593601999833169
1778876439,949211798,22.130672149855123,16.435254498667668,0.01094034842296221
1778876440,148809496,22.177847589970817,16.48378574037954,-0.00705994151862388
1778876440,349098733,22.202079065112333,16.514972301329635,-0.036060104871048715
1778876440,549488448,22.28446100713789,16.569878241292997,0.008939464011829656
1778876440,751903487,22.328608281599898,16.598647243613552,0.005939234103840008
1778876440,951065798,22.381793405974513,16.66259588922973,-0.0010611187820472878
1778876441,151941977,22.428961595231023,16.725932251583856,-0.009061450142745286
1778876441,351240203,22.495440773917903,16.79081562379032,-0.026061856609616463
1778876441,552867232,22.547913091342522,16.84012479888655,-0.024062171468504978
1778876441,752102599,22.586347692847127,16.895157043298255,-0.044062452028147625
1778876441,952406233,22.67167298920332,16.94472872443412,-0.03706288793813517
1778876442,152215970,22.73786964995496,17.012504727673644,-0.0410633045861335
1778876442,352009586,22.79442861397701,17.051559593586067,-0.041063611470753436
1778876442,555647872,22.85631590563529,17.089056499768077,-0.032063933391006216
1778876442,754176092,22.896076209791655,17.158920063267463,-0.022064263754659308
1778876442,956583396,22.94663839952826,17.18920777939327,-0.03206452736975596
1778876443,156916666,23.01082002958264,17.258112518852577,-0.02706494492049938
1778876443,354921492,23.06756219897812,17.29878850587576,-0.04206526030954727
1778876443,557117190,23.11734529656614,17.35453763492295,-0.051065592263890736
1778876443,758267153,23.164473164543267,17.397091953803738,-0.0550658791487999
1778876443,955292650,23.233007060921466,17.4626672086717,-0.04606630767302544
1778876444,156635967,23.28887417951232,17.497889255096986,-0.0410666083360276
1778876444,357490485,23.34883449730365,17.526182196298706,-0.01106690661544718
1778876444,556096290,23.396591280145362,17.577241101366432,-0.0080672228389016
1778876444,756945098,23.461341273584495,17.642023205195233,-0.0020676399621475383
1778876444,955653466,23.495275157054508,17.698090522484826,-0.0020679203067288654
1778876445,154885598,23.540660828370715,17.770985019917504,0.002931709311818409
1778876445,357057210,23.61728402880687,17.80991670562117,-0.002068683018736195
1778876445,557246409,23.69894727518325,17.865819375005167,-0.010069141898958023
1778876445,758740188,23.743808955771,17.910059101213633,-0.027069433621184302
1778876445,956293967,23.798880847164227,17.962429737897327,-0.02206978702991158
1778876446,156954421,23.862796022018845,18.00544810046917,-0.03807014735489744
1778876446,355995955,23.950375256638683,18.065645506952787,-0.053070647518904224
1778876446,556450883,24.017389772219495,18.127910867575487,-0.04907107599080973
1778876446,754660704,24.06733110830953,18.19094215434494,-0.055071443363960526
1778876446,954805500,24.116696877847115,18.235809463920457,-0.05407175945445708
1778876447,154107062,24.171552378859964,18.2880635000581,-0.05707211617231067
1778876447,354720988,24.22196197618648,18.332524399383516,-0.06507243677946484
1778876447,554953729,24.268192163160457,18.357986797899365,-0.061072684843702874
1778876447,754945608,24.3291404748294,18.412831621189447,-0.06607307669368723
1778876447,953279152,24.360449862704094,18.47149853348433,-0.042073364219859855
1778876448,155211494,24.42908145581746,18.531728730100642,-0.03407380269296212
1778876448,353326217,24.47065496706064,18.57073674002755,-0.044074076342552004
1778876448,552868862,24.521336625426592,18.625447575866104,-0.05007442970565634
1778876448,752856673,24.580490365505085,18.665070084513694,-0.036074774017036404
1778876448,951473859,24.635995649817964,18.736635278758946,-0.061075197669586245
1778876449,153296095,24.684297386370627,18.790063823285067,-0.0550755421238911
1778876449,350572344,24.739161039071668,18.846474323003882,-0.037075922111869275
1778876449,551350469,24.797648678089125,18.895564469785388,-0.03707629620350872
1778876449,749787507,24.845682319141336,18.959367105717885,-0.045076671829507475
1778876449,950519155,24.897827683898477,19.007254473367098,-0.0430770173099404
1778876450,150668869,24.944203934262188,19.052310246322058,-0.049077333801736955
1778876450,352535619,24.997341500461886,19.110281954843217,-0.04207771657710957
1778876450,554471678,25.050198084927445,19.171977523282642,-0.04307810903108411
1778876450,752084409,25.111986826018537,19.232949643675255,-0.044078535428555554
1778876450,952735555,25.173329909484167,19.28703834105277,-0.052078941137855495
1778876451,153114811,25.22249066816287,19.337608077019514,-0.03807928757375656
1778876451,353274054,25.256332546681705,19.383384056693462,-0.036079560625825735
1778876451,554848204,25.31368025257695,19.439056907727636,-0.035079959107680025
1778876451,753429593,25.36046667749751,19.472707914687817,-0.030080247504212565
1778876451,952293443,25.418724200466954,19.533161432280135,-0.0350806647894224
1778876452,152385129,25.481355030805336,19.56400041921818,-0.03108101026889365
1778876452,354402641,25.556320771629174,19.62127692063012,-0.04108148699463676
1778876452,554254066,25.635229529124473,19.668498551377308,-0.03408194954128696
1778876452,754167257,25.694024704172982,19.70903504477993,-0.05008231103726324
1778876452,952974500,25.749067534027247,19.746442574675708,-0.05108264924216499
1778876453,152390357,25.795924137578297,19.79770844019486,-0.056082998548205865
1778876453,354163961,25.883398615277223,19.84096435968798,-0.029083487448950507
1778876453,552829849,25.94628369631582,19.872909134821697,-0.038083841413914854
1778876453,752742259,25.984958070838722,19.92156563172929,-0.0610841518973384
1778876453,952793569,26.038324963522328,19.94921244525447,-0.05208445827993735
1778876454,152457822,26.121120141304505,19.994376006118237,-0.04708493751492604
1778876454,354532772,26.189347204460088,20.05037454116345,-0.0580853940125472
1778876454,554746357,26.24056660925186,20.085168407547265,-0.05308571418961705
1778876454,752682364,26.319584282042765,20.13286390295987,-0.06408619143465266
1778876454,954308091,26.376588160493753,20.15984068301969,-0.05008651285115562
1778876455,154938579,26.43451873205104,20.18178065817294,-0.06308682291855838
1778876455,353733349,26.493733019946127,20.234030359010664,-0.048087233979513755
